,support,itemsets
0,0.4666666666666667,frozenset({2})
1,0.4444444444444444,frozenset({3})
2,0.4,frozenset({4})
3,0.4444444444444444,frozenset({5})
4,0.35555555555555557,frozenset({6})
5,0.37777777777777777,frozenset({7})
6,0.3111111111111111,frozenset({13})
7,0.28888888888888886,"frozenset({2, 3})"
8,0.35555555555555557,"frozenset({4, 5})"
9,0.35555555555555557,"frozenset({4, 6})"
10,0.3111111111111111,"frozenset({4, 7})"
11,0.3111111111111111,"frozenset({5, 6})"
12,0.28888888888888886,"frozenset({5, 7})"
13,0.3111111111111111,"frozenset({4, 5, 6})"
